stop,degree,clusterring_coefficient,closeness,betwennesses,page_rank
Pietrzykowice,4,0.0,0.039670865128252276,0.019624925729863716,0.001268221325580338
Brzezia Łąka - skrzy. Główna,4,0.0,0.034629428995626176,0.005618631027755298,0.0010180885086278403
Brzezia Łąka-skrzy.Sportowa,3,0.0,0.03348465448337407,0.00661996721808042,0.001072718023124485
Kątna,4,0.0,0.033676734566455944,0.0026650320515405617,0.0010933110302214105
Brzezia Łąka Główna,4,0.0,0.03435509554140127,0.003373723741081982,0.0010974571666977468
Brzezia Łąka Główna pętla,2,0.0,0.03321530290200908,0.0,0.0006400304069576536
Brzezina - ul. Chrobrego,4,0.0,0.03275515238926633,0.014430431523000827,0.0011272716715708486
Brzezinka Średzka - ul. Główna,6,0.038461538461538464,0.031049866877743398,0.009718590690064123,0.0015743470054077444
Brzezina - Osiedle,4,0.0,0.03376105156091073,0.016484566498835566,0.0011494299226284391
Las Mokrzański,4,0.0,0.034840532902704884,0.018608714800726747,0.0011687725908228657
Brzezinka Średzka - PKP,3,0.3333333333333333,0.029332789504095715,0.004548446533119328,0.0011043688614360448
Gosławice - przejazd PKP,4,0.1,0.02861216099728135,0.0014117375044696504,0.001118430640123992
Brzezinka Średzka - ul. Parkowa,3,0.3333333333333333,0.030217086834733894,0.004548446533119328,0.001095009118029334
Pisarzowice - Kolejowa,4,0.0,0.030585483413666004,0.0021716229380235315,0.0010970030231615652
Brzezińska,4,0.0,0.04007615863285966,0.029532608410941106,0.0009984982142481214
Eluarda,8,0.16666666666666666,0.04167270268965184,0.03606356348680645,0.0016423018814642526
Owczarska,4,0.0,0.038600885628662165,0.027322203691348353,0.0011197598901784868
Brücknera,9,0.15625,0.06980506349591523,0.3261574234993591,0.0015552661678401743
C.H. Korona,9,0.5,0.0663692993924479,0.008580346748878793,0.0019048984648475868
Grudziądzka,6,0.3333333333333333,0.07205477164565417,0.14993663753984313,0.0012373414934567092
Kwidzyńska,12,0.13333333333333333,0.07272880498904433,0.1904952641054885,0.0021208835343187087
Olsztyńska,4,0.2,0.06559246028729954,0.013618169627934319,0.0008281856908617461
Psie Pole,8,0.3333333333333333,0.06714385746518323,0.3232220647949248,0.0015332966703109042
Budziwojowice,4,0.0,0.03555537244561635,0.0036560358025032303,0.00117657460682324
Łosice - plac zabaw,4,0.0,0.035619943866600626,0.004774456678259044,0.0009308066727333102
Łozina Cmentarz,4,0.1,0.036606574761399786,0.005084307654054371,0.0014291074348246383
Konduktorska,5,0.125,0.04640283901494784,0.021634838597590425,0.0014103666583837934
ROD Zgoda,4,0.2,0.046387873575575146,0.004994707110030399,0.0009023314675491647
Bujwida,5,0.75,0.07174925174592617,0.0015087031605247637,0.0007061986050869201
Kliniki,7,0.2222222222222222,0.07094122482531853,0.0616875315074009,0.0012174268924853905
Kochanowskiego,10,0.1,0.07321004411265694,0.023367935544512147,0.0016245222038460132
PL. GRUNWALDZKI,17,0.14285714285714285,0.07582813461031544,0.08194773102579544,0.002413352652442208
