source,target,night_tram,night_bus,d .875
Bzowa (Centrum Zajezdnia),Hutmen,124.375,108.25,216.3125,493.0,232.625,709.3125
Bzowa (Centrum Zajezdnia),pl. Srebrny,118.875,123.125,213.0625,490.8125,242.0,703.875
Bąków,Bukowina - skrzy.,,8.25,22.625,,8.25,22.625
Bąków,Łozina - Wrocławska (na wys. nr 18),,8.75,18.25,,8.75,18.25
Błonie,Wróblowice,,2.75,5.5,,2.75,5.5
Błonie,Źródła,,,5.5,,0.0,5.5
C.H. Korona,Brücknera,,235.25,684.25,,235.25,684.25
C.H. Korona,C.H. Korona,,176.75,513.0,,176.75,513.0
C.H. Korona,Psie Pole,,20.375,114.375,,20.375,114.375
C.H. Korona,Zielna,,182.125,509.1875,,182.125,509.1875
Ceglana,Gospodarska,,16.5,62.625,,16.5,62.625
Ceglana,Kowalska,,14.375,45.8125,,14.375,45.8125
Ceglana,Kowalska I,,2.75,4.125,,2.75,4.125
Ceglana,Monopolowa,,,8.25,,0.0,8.25
Ceglana,Volvo,,,1.375,,0.0,1.375
Centrum Zarządzania Kryzysowego,Nowodworska,,185.625,630.875,,185.625,630.875
Centrum Zarządzania Kryzysowego,Otyńska,,177.5,627.8125,,177.5,627.8125
Cesarzowice skrz.,Jaszkotle - kościół,,,9.625,,0.0,9.625
Cesarzowice skrz.,Mokronos Dolny - Parkowa/Stawowa,,2.75,8.25,,2.75,8.25
Chełmońskiego,Piramowicza,160.0,42.625,,500.625,202.625,500.625
Chełmońskiego,Tramwajowa,150.25,42.625,,505.5,192.875,505.5
Chińska,BROCHÓW,,101.125,272.125,,101.125,272.125
Chińska,BROCHÓW (Stacja kolejowa),,71.875,182.9375,,71.875,182.9375
Chińska,Semaforowa,,15.375,82.625,,15.375,82.625
Chociebuska,Hermanowska,,78.5,201.8125,,78.5,201.8125
Chociebuska,Nowy Dwór,,139.875,381.375,,139.875,381.375
Chociebuska,Nowy Dwór (Rogowska),,78.375,177.5625,,78.375,177.5625
Chopina,Karłowicza,117.625,,,424.0625,117.625,424.0625
Chopina,Kochanowskiego,107.75,,,429.0,107.75,429.0
